City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
173,Deer Lake,49.17,-57.43,50.0,87,40,5.82,CA,2020-09-13 02:13:59
174,Kenilworth,52.34,-1.58,55.99,87,70,6.93,GB,2020-09-13 02:14:01
175,Casablanca,33.59,-7.62,73.0,94,40,2.24,MA,2020-09-13 02:14:02
176,Aitape,-3.14,142.35,85.68,72,8,4.5,PG,2020-09-13 02:14:02
177,Dikson,73.51,80.55,43.68,91,100,18.9,RU,2020-09-13 02:14:02
178,Saint-Pierre,-21.34,55.48,64.4,59,40,8.05,RE,2020-09-13 02:14:03
179,Kungurtug,50.6,97.52,37.94,78,94,2.64,RU,2020-09-13 02:14:03
180,Hereford,52.06,-2.71,55.99,91,59,1.01,GB,2020-09-13 02:14:04
181,Georgetown,5.41,100.34,78.8,83,20,10.29,MY,2020-09-13 02:10:12
182,Sao Filipe,14.9,-24.5,79.18,83,100,19.77,CV,2020-09-13 02:12:37
183,Grand Gaube,-20.01,57.66,66.99,84,0,3.0,MU,2020-09-13 02:13:09
184,Ormara,25.21,64.64,81.95,80,28,7.0,PK,2020-09-13 02:14:05
185,Kloulklubed,7.04,134.26,80.6,83,75,3.36,PW,2020-09-13 02:14:05
186,Manado,1.49,124.85,78.8,83,40,1.12,ID,2020-09-13 02:14:05
187,Aliwal North,-30.69,26.71,58.23,34,0,12.48,ZA,2020-09-13 02:14:06
188,Wanaka,-44.7,169.15,49.71,71,100,7.81,NZ,2020-09-13 02:14:06
189,Hajiganj,23.25,90.86,85.68,77,99,6.22,BD,2020-09-13 02:14:06
190,Am Timan,11.03,20.28,70.66,95,99,2.66,TD,2020-09-13 02:14:07
191,Castro,-24.79,-50.01,67.57,40,0,2.86,BR,2020-09-13 02:14:07
192,Dunmore Town,25.5,-76.65,83.14,77,100,11.7,BS,2020-09-13 02:14:07
193,Farnham,51.21,-0.8,55.99,93,68,3.36,GB,2020-09-13 02:14:08
194,Mareeba,-17.0,145.43,73.4,83,90,11.41,AU,2020-09-13 02:14:08
195,Kruisfontein,-34.0,24.73,66.99,39,96,3.0,ZA,2020-09-13 02:14:09
196,Kindu,-2.95,25.95,70.36,92,95,1.95,CD,2020-09-13 02:14:09
197,Feijo,-8.16,-70.35,80.83,58,52,0.51,BR,2020-09-13 02:14:09
198,Lichinga,-13.31,35.24,58.93,77,53,9.55,MZ,2020-09-13 02:14:10
199,Sechura,-5.56,-80.82,63.01,81,1,14.05,PE,2020-09-13 02:14:10
200,Livadi,40.12,22.15,73.0,42,0,6.93,GR,2020-09-13 02:14:10
201,Grindavik,63.84,-22.43,46.4,70,90,12.75,IS,2020-09-13 02:12:47
202,Lompoc,34.64,-120.46,64.0,87,20,6.93,US,2020-09-13 02:14:11
203,Waverly,42.74,-84.62,68.0,94,75,3.36,US,2020-09-13 02:14:12
204,Yanam,16.73,82.22,82.4,83,75,4.7,IN,2020-09-13 02:14:12
